[INFO] Capture started.
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:55641 | SYN-ACK (Connection accepted) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:55641 | DST: 192.168.18.1:53 | ACK (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:59596 | SYN-ACK (Connection accepted) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:55641 | DST: 192.168.18.1:53 | PSH-ACK (Data push) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:59596 | DST: 192.168.18.1:53 | ACK (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:55641 | DST: 192.168.18.1:53 | PSH-ACK (Data push) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:59596 | DST: 192.168.18.1:53 | PSH-ACK (Data push) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:59596 | DST: 192.168.18.1:53 | PSH-ACK (Data push) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:55641 | ACK (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:55641 | ACK (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:59596 | ACK (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:59596 | ACK (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:59596 | PSH-ACK (Data push) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:59596 | DST: 192.168.18.1:53 | FIN-ACK (Connection closing) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:59596 | FIN-ACK (Connection closing) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:59596 | DST: 192.168.18.1:53 | ACK (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:55641 | PSH-ACK (Data push) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:55641 | DST: 192.168.18.1:53 | FIN-ACK (Connection closing) (DNS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:49289 | DST: 142.251.220.163:443 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:49289 | DST: 142.251.220.163:443 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:49289 | DST: 142.251.220.163:443 | 80 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:49289 | DST: 142.251.220.163:443 | 732 bytes (HTTPS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:55641 | FIN-ACK (Connection closing) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:55641 | DST: 192.168.18.1:53 | ACK (DNS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.163:443 | DST: 192.168.18.23:49289 | 40 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.163:443 | DST: 192.168.18.23:49289 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:49289 | DST: 142.251.220.163:443 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] Other | SRC: N/A | DST: N/A | Ether / ARP who has 192.168.18.46 says 192.168.18.44
[2026-02-28 03:29:32] Other | SRC: N/A | DST: N/A | Ether / ARP who has 192.168.18.19 says 192.168.18.44
[2026-02-28 03:29:32] Other | SRC: N/A | DST: N/A | Ether / ARP who has 192.168.18.69 says 192.168.18.44
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.163:443 | DST: 192.168.18.23:49289 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:49289 | DST: 142.251.220.163:443 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.163:443 | DST: 192.168.18.23:49289 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:49289 | DST: 142.251.220.163:443 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.163:443 | DST: 192.168.18.23:49289 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.163:443 | DST: 192.168.18.23:49289 | 289 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:49289 | DST: 142.251.220.163:443 | 78 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.163:443 | DST: 192.168.18.23:49289 | 944 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.163:443 | DST: 192.168.18.23:49289 | 25 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.163:443 | DST: 192.168.18.23:49289 | 22 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:49289 | DST: 142.251.220.163:443 | 31 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.163:443 | DST: 192.168.18.23:49289 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.163:443 | DST: 192.168.18.23:49289 | 120 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:49289 | DST: 142.251.220.163:443 | 33 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:59630 | DST: 142.251.220.174:443 | 783 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:59630 | DST: 142.251.220.174:443 | 1244 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:59630 | DST: 142.251.220.174:443 | 46 bytes (HTTPS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:55774 | DST: 192.168.18.1:53 | SYN (Connection request) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:53995 | DST: 192.168.18.1:53 | SYN (Connection request) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:55774 | SYN-ACK (Connection accepted) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:53995 | SYN-ACK (Connection accepted) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:55774 | DST: 192.168.18.1:53 | ACK (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:53995 | DST: 192.168.18.1:53 | ACK (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:53995 | DST: 192.168.18.1:53 | PSH-ACK (Data push) (DNS)
